City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,buluang,20,PH,1526500800,88,10.47,123.98,80.6,2.24
88,namatanai,64,PG,1526501585,100,-3.66,152.44,83.1,7.18
89,hobart,75,AU,1526499000,66,-42.88,147.33,55.4,14.99
90,geraldton,90,CA,1526497200,55,49.72,-86.95,41.0,12.75
91,narsaq,75,GL,1526496600,36,60.91,-46.05,48.2,18.34
92,port alfred,0,ZA,1526501586,88,-33.59,26.89,64.11,12.1
93,faranah,64,GN,1526501586,94,10.04,-10.74,72.39,3.94
94,tambovka,0,UA,1526501587,89,46.93,35.45,58.44,6.29
95,alofi,56,NU,1526497200,94,-19.06,-169.92,71.6,1.12
96,cidreira,8,BR,1526501588,74,-30.17,-50.22,59.97,8.75
97,nantucket,1,US,1526499300,81,41.28,-70.1,60.8,9.17
98,ancud,92,CL,1526501588,83,-41.87,-73.83,49.89,5.95
99,saint-augustin,0,FR,1526499000,82,44.83,-0.61,59.0,6.93
100,saskylakh,36,RU,1526501589,77,71.97,114.09,9.3,3.49
101,carnarvon,0,ZA,1526501589,73,-30.97,22.13,40.62,5.61
102,petukhovo,0,RU,1526501590,84,55.06,67.89,29.1,4.5
103,huzhou,12,CN,1526501590,58,30.86,120.1,78.78,5.73
104,qaanaaq,0,GL,1526501590,93,77.48,-69.36,24.06,7.29
105,avera,40,US,1526499300,65,33.19,-82.53,84.2,8.05
106,japura,92,ID,1526501591,92,-0.42,102.29,76.08,2.15
107,taltal,0,CL,1526501591,71,-25.41,-70.49,64.2,2.71
108,bethel,75,US,1526500980,82,60.79,-161.76,41.0,4.7
109,hobyo,80,SO,1526501593,85,5.35,48.53,81.48,19.15
110,hasaki,75,JP,1526500800,73,35.73,140.83,69.8,6.93
111,north platte,75,US,1526496780,47,41.12,-100.77,78.8,10.29
112,barrow,32,AR,1526501594,55,-38.31,-60.23,52.32,4.16
113,bambous virieux,20,MU,1526500800,88,-20.34,57.76,69.8,5.82
114,quang ngai,8,VN,1526501594,91,15.12,108.8,70.05,2.04
115,tuktoyaktuk,0,CA,1526500800,100,69.44,-133.03,35.6,5.82
116,sinnamary,92,GF,1526501595,100,5.38,-52.96,77.34,10.65
